Temperature2,Execution1
Time(s),Temperature2(C)
176.0000,29.17
176.5000,29.13
177.0000,29.08
177.5000,29.05
178.0000,29.01
178.5000,28.96
179.0000,28.93
179.5000,28.86
180.0000,28.81
180.5000,28.74
181.0000,28.69
181.5000,28.62
182.0000,28.55
182.5000,28.50
183.0000,28.43
183.5000,28.40
184.0000,28.34
184.5000,28.30
185.0000,28.26
185.5000,28.21
186.0000,28.15
186.5000,28.11
187.0000,28.09
187.5000,28.09
188.0000,28.08
188.5000,28.09
189.0000,28.09
189.5000,28.09
190.0000,28.08
190.5000,28.11
191.0000,28.13
191.5000,28.17
192.0000,28.19
192.5000,28.20
193.0000,28.25
193.5000,28.29
194.0000,28.34
194.5000,28.39
195.0000,28.45
195.5000,28.52
196.0000,28.60
196.5000,28.65
197.0000,28.75
197.5000,28.80
198.0000,28.86
198.5000,28.93
199.0000,28.98
199.5000,29.02
200.0000,29.06
200.5000,29.10
201.0000,29.12
201.5000,29.15
202.0000,29.15
202.5000,29.17
203.0000,29.17
203.5000,29.17
204.0000,29.16
204.5000,29.15
205.0000,29.13
205.5000,29.10
206.0000,29.07
206.5000,29.03
207.0000,28.99
207.5000,28.96
208.0000,28.91
208.5000,28.86
209.0000,28.80
209.5000,28.75
210.0000,28.68
210.5000,28.63
211.0000,28.57
211.5000,28.51
212.0000,28.45
212.5000,28.38
213.0000,28.32
213.5000,28.28
214.0000,28.24
214.5000,28.20
215.0000,28.15
215.5000,28.11
216.0000,28.09
216.5000,28.07
217.0000,28.05
217.5000,28.04
218.0000,28.03
218.5000,28.03
219.0000,28.03
219.5000,28.04
220.0000,28.04
220.5000,28.07
221.0000,28.09
221.5000,28.12
222.0000,28.15
222.5000,28.19
223.0000,28.23
223.5000,28.28
224.0000,28.33
224.5000,28.39
225.0000,28.45
225.5000,28.52
226.0000,28.58
226.5000,28.64
227.0000,28.70
227.5000,28.77
228.0000,28.82
228.5000,28.90
229.0000,28.95
229.5000,29.00
230.0000,29.04
230.5000,29.08
231.0000,29.11
231.5000,29.13
232.0000,29.15
232.5000,29.17
233.0000,29.18
233.5000,29.18
234.0000,29.18
234.5000,29.19
235.0000,29.17
235.5000,29.16
236.0000,29.12
236.5000,29.08
237.0000,29.05
237.5000,29.01
238.0000,28.96
238.5000,28.92
239.0000,28.87
239.5000,28.81
240.0000,28.74
240.5000,28.68
241.0000,28.62
241.5000,28.55
242.0000,28.50
242.5000,28.44
243.0000,28.38
243.5000,28.33
244.0000,28.27
244.5000,28.22
245.0000,28.19
245.5000,28.17
246.0000,28.16
246.5000,28.12
247.0000,28.13
247.5000,28.14
248.0000,28.13
248.5000,28.13
249.0000,28.13
249.5000,28.15
250.0000,28.16
250.5000,28.20
251.0000,28.24
251.5000,28.27
252.0000,28.29
252.5000,28.32
253.0000,28.38
253.5000,28.44
254.0000,28.48
254.5000,28.53
255.0000,28.60
255.5000,28.67
256.0000,28.75
256.5000,28.81
257.0000,28.90
257.5000,28.97
258.0000,29.02
258.5000,29.07
259.0000,29.13
259.5000,29.17
260.0000,29.22
260.5000,29.25
261.0000,29.25
261.5000,29.30
262.0000,29.33
262.5000,29.35
263.0000,29.37
263.5000,29.38
264.0000,29.32
264.5000,29.36
265.0000,29.34
265.5000,29.32
266.0000,29.31
266.5000,29.31
267.0000,29.26
267.5000,29.21
268.0000,29.17
268.5000,29.13
269.0000,29.10
269.5000,29.05
270.0000,28.98
270.5000,28.95
271.0000,28.88
271.5000,28.82
272.0000,28.76
272.5000,28.72
273.0000,28.68
273.5000,28.62
274.0000,28.56
274.5000,28.52
275.0000,28.49
275.5000,28.45
276.0000,28.41
276.5000,28.37
277.0000,28.35
277.5000,28.35
278.0000,28.34
278.5000,28.34
279.0000,28.34
279.5000,28.36
280.0000,28.40
280.5000,28.40
281.0000,28.41
281.5000,28.46
282.0000,28.48
282.5000,28.52
283.0000,28.58
283.5000,28.66
284.0000,28.72
284.5000,28.78
285.0000,28.84
285.5000,28.88
286.0000,28.93
286.5000,28.99
287.0000,29.08
287.5000,29.16
288.0000,29.22
288.5000,29.28
289.0000,29.34
289.5000,29.38
290.0000,29.41
290.5000,29.45
291.0000,29.48
291.5000,29.50
292.0000,29.51
292.5000,29.51
293.0000,29.53
293.5000,29.53
294.0000,29.53
294.5000,29.49
295.0000,29.47
295.5000,29.45
296.0000,29.42
296.5000,29.39
297.0000,29.36
297.5000,29.29
298.0000,29.24
298.5000,29.21
299.0000,29.14
299.5000,29.09
300.0000,29.03
300.5000,28.97
301.0000,28.93
301.5000,28.89
302.0000,28.82
302.5000,28.74
303.0000,28.71
303.5000,28.65
304.0000,28.60
304.5000,28.58
305.0000,28.53
305.5000,28.49
306.0000,28.48
306.5000,28.48
307.0000,28.48
307.5000,28.48
308.0000,28.46
308.5000,28.46
309.0000,28.46
309.5000,28.47
310.0000,28.48
310.5000,28.51
311.0000,28.53
311.5000,28.52
312.0000,28.57
312.5000,28.62
313.0000,28.66
313.5000,28.71
314.0000,28.77
314.5000,28.83
315.0000,28.87
315.5000,28.93
316.0000,29.00
316.5000,29.05
317.0000,29.11
317.5000,29.17
318.0000,29.23
318.5000,29.29
319.0000,29.32
319.5000,29.37
320.0000,29.41
320.5000,29.45
321.0000,29.49
321.5000,29.51
322.0000,29.54
322.5000,29.54
323.0000,29.55
323.5000,29.52
324.0000,29.52
324.5000,29.51
325.0000,29.49
325.5000,29.46
326.0000,29.43
326.5000,29.41
327.0000,29.36
327.5000,29.32
328.0000,29.28
328.5000,29.22
329.0000,29.17
329.5000,29.10
330.0000,29.05
330.5000,29.00
331.0000,28.93
331.5000,28.87
332.0000,28.80
332.5000,28.74
333.0000,28.69
333.5000,28.64
334.0000,28.59
334.5000,28.55
335.0000,28.51
335.5000,28.49
336.0000,28.44
336.5000,28.42
337.0000,28.41
337.5000,28.40
338.0000,28.40
338.5000,28.40
339.0000,28.41
339.5000,28.42
340.0000,28.41
340.5000,28.44
