Temperature7	Execution1
Time(s)	Temperature7(C)
176.0000	26.31
176.5000	26.30
177.0000	26.30
177.5000	26.28
178.0000	26.28
178.5000	26.28
179.0000	26.27
179.5000	26.26
180.0000	26.26
180.5000	26.24
181.0000	26.24
181.5000	26.23
182.0000	26.23
182.5000	26.22
183.0000	26.21
183.5000	26.21
184.0000	26.20
184.5000	26.19
185.0000	26.19
185.5000	26.18
186.0000	26.18
186.5000	26.16
187.0000	26.16
187.5000	26.16
188.0000	26.15
188.5000	26.14
189.0000	26.14
189.5000	26.13
190.0000	26.12
190.5000	26.11
191.0000	26.12
191.5000	26.11
192.0000	26.10
192.5000	26.10
193.0000	26.09
193.5000	26.08
194.0000	26.07
194.5000	26.07
195.0000	26.07
195.5000	26.06
196.0000	26.04
196.5000	26.05
197.0000	26.04
197.5000	26.03
198.0000	26.03
198.5000	26.02
199.0000	26.02
199.5000	26.01
200.0000	26.00
200.5000	26.00
201.0000	25.99
201.5000	25.99
202.0000	25.98
202.5000	25.98
203.0000	25.97
203.5000	25.97
204.0000	25.96
204.5000	25.96
205.0000	25.95
205.5000	25.94
206.0000	25.94
206.5000	25.94
207.0000	25.93
207.5000	25.93
208.0000	25.92
208.5000	25.92
209.0000	25.92
209.5000	25.91
210.0000	25.90
210.5000	25.90
211.0000	25.90
211.5000	25.89
212.0000	25.88
212.5000	25.88
213.0000	25.87
213.5000	25.87
214.0000	25.86
214.5000	25.86
215.0000	25.85
215.5000	25.86
216.0000	25.85
216.5000	25.84
217.0000	25.84
217.5000	25.84
218.0000	25.83
218.5000	25.83
219.0000	25.82
219.5000	25.81
220.0000	25.81
220.5000	25.81
221.0000	25.81
221.5000	25.80
222.0000	25.79
222.5000	25.80
223.0000	25.79
223.5000	25.79
224.0000	25.78
224.5000	25.78
225.0000	25.77
225.5000	25.77
226.0000	25.77
226.5000	25.76
227.0000	25.76
227.5000	25.75
228.0000	25.75
228.5000	25.74
229.0000	25.74
229.5000	25.73
230.0000	25.73
230.5000	25.73
231.0000	25.72
231.5000	25.72
232.0000	25.72
232.5000	25.71
233.0000	25.71
233.5000	25.71
234.0000	25.70
234.5000	25.70
235.0000	25.69
235.5000	25.69
236.0000	25.69
236.5000	25.68
237.0000	25.68
237.5000	25.68
238.0000	25.67
238.5000	25.66
239.0000	25.67
239.5000	25.66
240.0000	25.67
240.5000	25.66
241.0000	25.65
241.5000	25.65
242.0000	25.65
242.5000	25.65
243.0000	25.64
243.5000	25.64
244.0000	25.63
244.5000	25.63
245.0000	25.63
245.5000	25.62
246.0000	25.63
246.5000	25.62
247.0000	25.62
247.5000	25.61
248.0000	25.61
248.5000	25.60
249.0000	25.60
249.5000	25.59
250.0000	25.60
250.5000	25.59
251.0000	25.59
251.5000	25.59
252.0000	25.58
252.5000	25.58
253.0000	25.57
253.5000	25.57
254.0000	25.57
254.5000	25.56
255.0000	25.56
255.5000	25.56
256.0000	25.56
256.5000	25.56
257.0000	25.55
257.5000	25.55
258.0000	25.55
258.5000	25.54
259.0000	25.54
259.5000	25.54
260.0000	25.53
260.5000	25.53
261.0000	25.53
261.5000	25.53
262.0000	25.52
262.5000	25.52
263.0000	25.52
263.5000	25.51
264.0000	25.51
264.5000	25.51
265.0000	25.51
265.5000	25.50
266.0000	25.50
266.5000	25.50
267.0000	25.50
267.5000	25.49
268.0000	25.49
268.5000	25.49
269.0000	25.49
269.5000	25.49
270.0000	25.48
270.5000	25.48
271.0000	25.48
271.5000	25.48
272.0000	25.47
272.5000	25.47
273.0000	25.47
273.5000	25.46
274.0000	25.46
274.5000	25.46
275.0000	25.46
275.5000	25.45
276.0000	25.45
276.5000	25.45
277.0000	25.45
277.5000	25.45
278.0000	25.44
278.5000	25.44
279.0000	25.43
279.5000	25.43
280.0000	25.43
280.5000	25.43
281.0000	25.43
281.5000	25.43
282.0000	25.43
282.5000	25.42
283.0000	25.42
283.5000	25.42
284.0000	25.42
284.5000	25.41
285.0000	25.41
285.5000	25.41
286.0000	25.40
286.5000	25.40
287.0000	25.40
287.5000	25.40
288.0000	25.40
288.5000	25.40
289.0000	25.39
289.5000	25.38
290.0000	25.39
290.5000	25.38
291.0000	25.38
291.5000	25.38
292.0000	25.38
292.5000	25.37
293.0000	25.37
293.5000	25.38
294.0000	25.37
294.5000	25.37
295.0000	25.37
295.5000	25.36
296.0000	25.36
296.5000	25.36
297.0000	25.35
297.5000	25.35
298.0000	25.35
298.5000	25.35
299.0000	25.35
299.5000	25.35
300.0000	25.34
300.5000	25.35
301.0000	25.34
301.5000	25.34
302.0000	25.34
302.5000	25.34
303.0000	25.34
303.5000	25.33
304.0000	25.33
304.5000	25.37
305.0000	25.37
305.5000	25.27
306.0000	25.31
306.5000	25.38
307.0000	25.34
307.5000	25.35
308.0000	25.33
308.5000	25.32
309.0000	25.34
309.5000	25.33
310.0000	25.31
310.5000	25.30
311.0000	25.29
311.5000	25.29
312.0000	25.29
312.5000	25.29
313.0000	25.27
313.5000	25.31
314.0000	25.28
314.5000	25.28
315.0000	25.28
315.5000	25.28
316.0000	25.28
316.5000	25.28
317.0000	25.27
317.5000	25.27
318.0000	25.27
318.5000	25.27
319.0000	25.26
319.5000	25.27
