Temperature1,Execution1
Time(s),Temperature1(C)
176.0000,26.97
176.5000,26.99
177.0000,27.00
177.5000,27.01
178.0000,27.03
178.5000,27.03
179.0000,27.04
179.5000,27.05
180.0000,27.06
180.5000,27.07
181.0000,27.08
181.5000,27.08
182.0000,27.08
182.5000,27.08
183.0000,27.08
183.5000,27.07
184.0000,27.07
184.5000,27.07
185.0000,27.06
185.5000,27.05
186.0000,27.05
186.5000,27.03
187.0000,27.02
187.5000,27.01
188.0000,27.01
188.5000,26.99
189.0000,26.98
189.5000,26.96
190.0000,26.96
190.5000,26.95
191.0000,26.93
191.5000,26.92
192.0000,26.91
192.5000,26.90
193.0000,26.90
193.5000,26.88
194.0000,26.89
194.5000,26.88
195.0000,26.87
195.5000,26.87
196.0000,26.86
196.5000,26.87
197.0000,26.87
197.5000,26.87
198.0000,26.87
198.5000,26.88
199.0000,26.89
199.5000,26.89
200.0000,26.91
200.5000,26.92
201.0000,26.93
201.5000,26.94
202.0000,26.96
202.5000,26.97
203.0000,26.99
203.5000,27.00
204.0000,27.02
204.5000,27.03
205.0000,27.05
205.5000,27.06
206.0000,27.08
206.5000,27.09
207.0000,27.11
207.5000,27.12
208.0000,27.13
208.5000,27.14
209.0000,27.15
209.5000,27.16
210.0000,27.16
210.5000,27.17
211.0000,27.17
211.5000,27.18
212.0000,27.18
212.5000,27.18
213.0000,27.18
213.5000,27.17
214.0000,27.17
214.5000,27.16
215.0000,27.15
215.5000,27.15
216.0000,27.14
216.5000,27.14
217.0000,27.12
217.5000,27.11
218.0000,27.10
218.5000,27.09
219.0000,27.07
219.5000,27.07
220.0000,27.05
220.5000,27.03
221.0000,27.03
221.5000,27.01
222.0000,27.00
222.5000,27.00
223.0000,26.99
223.5000,26.98
224.0000,26.97
224.5000,26.97
225.0000,26.97
225.5000,26.96
226.0000,26.96
226.5000,26.96
227.0000,26.96
227.5000,26.96
228.0000,26.97
228.5000,26.97
229.0000,26.98
229.5000,26.99
230.0000,27.00
230.5000,27.01
231.0000,27.02
231.5000,27.04
232.0000,27.05
232.5000,27.07
233.0000,27.08
233.5000,27.09
234.0000,27.11
234.5000,27.12
235.0000,27.14
235.5000,27.15
236.0000,27.17
236.5000,27.18
237.0000,27.20
237.5000,27.21
238.0000,27.22
238.5000,27.23
239.0000,27.23
239.5000,27.25
240.0000,27.25
240.5000,27.26
241.0000,27.26
241.5000,27.27
242.0000,27.27
242.5000,27.26
243.0000,27.26
243.5000,27.26
244.0000,27.26
244.5000,27.25
245.0000,27.24
245.5000,27.24
246.0000,27.23
246.5000,27.22
247.0000,27.21
247.5000,27.20
248.0000,27.19
248.5000,27.18
249.0000,27.16
249.5000,27.15
250.0000,27.14
250.5000,27.13
251.0000,27.12
251.5000,27.11
252.0000,27.10
252.5000,27.09
253.0000,27.08
253.5000,27.07
254.0000,27.06
254.5000,27.06
255.0000,27.05
255.5000,27.05
256.0000,27.05
256.5000,27.05
257.0000,27.04
257.5000,27.05
258.0000,27.05
258.5000,27.06
259.0000,27.07
259.5000,27.08
260.0000,27.09
260.5000,27.10
261.0000,27.11
261.5000,27.13
262.0000,27.13
262.5000,27.15
263.0000,27.16
263.5000,27.18
264.0000,27.19
264.5000,27.21
265.0000,27.23
265.5000,27.24
266.0000,27.26
266.5000,27.27
267.0000,27.28
267.5000,27.30
268.0000,27.30
268.5000,27.32
269.0000,27.33
269.5000,27.33
270.0000,27.34
270.5000,27.35
271.0000,27.35
271.5000,27.36
272.0000,27.35
272.5000,27.36
273.0000,27.36
273.5000,27.35
274.0000,27.35
274.5000,27.34
275.0000,27.34
275.5000,27.33
276.0000,27.32
276.5000,27.31
277.0000,27.30
277.5000,27.29
278.0000,27.28
278.5000,27.26
279.0000,27.26
279.5000,27.24
280.0000,27.23
280.5000,27.22
281.0000,27.21
281.5000,27.20
282.0000,27.19
282.5000,27.18
283.0000,27.17
283.5000,27.17
284.0000,27.16
284.5000,27.15
285.0000,27.14
285.5000,27.14
286.0000,27.14
286.5000,27.14
287.0000,27.14
287.5000,27.15
288.0000,27.15
288.5000,27.15
289.0000,27.16
289.5000,27.17
290.0000,27.18
290.5000,27.19
291.0000,27.20
291.5000,27.22
292.0000,27.23
292.5000,27.25
293.0000,27.26
293.5000,27.27
294.0000,27.29
294.5000,27.31
295.0000,27.32
295.5000,27.34
296.0000,27.36
296.5000,27.36
297.0000,27.38
297.5000,27.39
298.0000,27.40
298.5000,27.41
299.0000,27.42
299.5000,27.43
300.0000,27.43
300.5000,27.44
301.0000,27.44
301.5000,27.45
302.0000,27.45
302.5000,27.45
303.0000,27.45
303.5000,27.44
304.0000,27.44
304.5000,27.44
305.0000,27.43
305.5000,27.42
306.0000,27.42
306.5000,27.41
307.0000,27.40
307.5000,27.38
308.0000,27.38
308.5000,27.36
309.0000,27.35
309.5000,27.34
310.0000,27.32
310.5000,27.32
311.0000,27.30
311.5000,27.30
312.0000,27.28
312.5000,27.27
313.0000,27.26
313.5000,27.25
314.0000,27.25
314.5000,27.24
315.0000,27.24
315.5000,27.23
316.0000,27.23
316.5000,27.23
317.0000,27.23
317.5000,27.23
318.0000,27.24
318.5000,27.25
319.0000,27.25
319.5000,27.26
320.0000,27.26
320.5000,27.28
321.0000,27.29
321.5000,27.31
322.0000,27.32
322.5000,27.33
323.0000,27.35
323.5000,27.36
324.0000,27.38
324.5000,27.39
325.0000,27.40
325.5000,27.42
326.0000,27.44
