Temperature8,Execution1
Time(s),Temperature8(C)
0.0000,27.36
0.5000,27.36
1.0000,27.35
1.5000,27.36
2.0000,27.35
2.5000,27.35
3.0000,27.35
3.5000,27.35
4.0000,27.35
4.5000,27.35
5.0000,27.34
5.5000,27.35
6.0000,27.34
6.5000,27.34
7.0000,27.35
7.5000,27.34
8.0000,27.34
8.5000,27.34
9.0000,27.34
9.5000,27.33
10.0000,27.34
10.5000,27.34
11.0000,27.33
11.5000,27.33
12.0000,27.33
12.5000,27.32
13.0000,27.33
13.5000,27.33
14.0000,27.33
14.5000,27.33
15.0000,27.32
15.5000,27.32
16.0000,27.32
16.5000,27.32
17.0000,27.32
17.5000,27.32
18.0000,27.32
18.5000,27.32
19.0000,27.32
19.5000,27.32
20.0000,27.32
20.5000,27.32
21.0000,27.32
21.5000,27.32
22.0000,27.32
22.5000,27.31
23.0000,27.31
23.5000,27.32
24.0000,27.32
24.5000,27.31
25.0000,27.31
25.5000,27.31
26.0000,27.31
26.5000,27.31
27.0000,27.31
27.5000,27.31
28.0000,27.31
28.5000,27.31
29.0000,27.31
29.5000,27.31
30.0000,27.31
30.5000,27.31
31.0000,27.31
31.5000,27.30
32.0000,27.31
32.5000,27.31
33.0000,27.31
33.5000,27.30
34.0000,27.30
34.5000,27.30
35.0000,27.30
35.5000,27.30
36.0000,27.30
36.5000,27.30
37.0000,27.30
37.5000,27.30
38.0000,27.30
38.5000,27.30
39.0000,27.29
39.5000,27.29
40.0000,27.30
40.5000,27.30
41.0000,27.29
41.5000,27.30
42.0000,27.30
42.5000,27.30
43.0000,27.30
43.5000,27.30
44.0000,27.30
44.5000,27.30
45.0000,27.30
45.5000,27.30
46.0000,27.30
46.5000,27.30
47.0000,27.30
47.5000,27.30
48.0000,27.30
48.5000,27.30
49.0000,27.30
49.5000,27.30
50.0000,27.30
50.5000,27.31
51.0000,27.30
51.5000,27.30
52.0000,27.31
52.5000,27.31
53.0000,27.30
53.5000,27.31
54.0000,27.31
54.5000,27.31
55.0000,27.31
55.5000,27.31
56.0000,27.31
56.5000,27.31
57.0000,27.31
57.5000,27.32
58.0000,27.31
58.5000,27.32
59.0000,27.32
59.5000,27.32
60.0000,27.32
60.5000,27.32
61.0000,27.32
61.5000,27.32
62.0000,27.32
62.5000,27.32
63.0000,27.32
63.5000,27.32
64.0000,27.32
64.5000,27.32
65.0000,27.32
65.5000,27.32
66.0000,27.32
66.5000,27.32
67.0000,27.32
67.5000,27.32
68.0000,27.32
68.5000,27.32
69.0000,27.32
69.5000,27.32
70.0000,27.32
70.5000,27.32
71.0000,27.32
71.5000,27.32
72.0000,27.33
72.5000,27.33
73.0000,27.33
73.5000,27.32
74.0000,27.32
74.5000,27.33
75.0000,27.33
75.5000,27.33
76.0000,27.33
76.5000,27.33
77.0000,27.33
77.5000,27.33
78.0000,27.34
78.5000,27.34
79.0000,27.33
79.5000,27.33
80.0000,27.34
80.5000,27.33
81.0000,27.33
81.5000,27.34
82.0000,27.33
82.5000,27.34
83.0000,27.33
83.5000,27.34
84.0000,27.35
84.5000,27.34
85.0000,27.35
85.5000,27.35
86.0000,27.35
86.5000,27.35
87.0000,27.35
87.5000,27.35
88.0000,27.35
88.5000,27.35
89.0000,27.35
89.5000,27.35
90.0000,27.35
90.5000,27.36
91.0000,27.36
91.5000,27.37
92.0000,27.36
92.5000,27.36
93.0000,27.37
93.5000,27.36
94.0000,27.37
94.5000,27.37
95.0000,27.37
95.5000,27.37
96.0000,27.37
96.5000,27.37
97.0000,27.37
97.5000,27.37
98.0000,27.38
98.5000,27.37
99.0000,27.37
99.5000,27.38
100.0000,27.38
100.5000,27.38
101.0000,27.38
101.5000,27.38
102.0000,27.38
102.5000,27.38
103.0000,27.38
103.5000,27.38
104.0000,27.38
104.5000,27.38
105.0000,27.38
105.5000,27.38
106.0000,27.38
106.5000,27.39
107.0000,27.39
107.5000,27.39
108.0000,27.39
108.5000,27.38
109.0000,27.38
109.5000,27.39
110.0000,27.39
110.5000,27.39
111.0000,27.39
111.5000,27.40
112.0000,27.39
112.5000,27.39
113.0000,27.39
113.5000,27.39
114.0000,27.39
114.5000,27.40
115.0000,27.39
115.5000,27.40
116.0000,27.39
116.5000,27.40
117.0000,27.40
117.5000,27.40
