Time(s),Temperature8(C)
0.0000,26.05
0.5000,26.05
1.0000,26.05
1.5000,26.05
2.0000,26.04
2.5000,26.05
3.0000,26.04
3.5000,26.04
4.0000,26.04
4.5000,26.03
5.0000,26.04
5.5000,26.04
6.0000,26.04
6.5000,26.03
7.0000,26.03
7.5000,26.03
8.0000,26.03
8.5000,26.03
9.0000,26.03
9.5000,26.03
10.0000,26.03
10.5000,26.03
11.0000,26.03
11.5000,26.03
12.0000,26.03
12.5000,26.03
13.0000,26.03
13.5000,26.03
14.0000,26.03
14.5000,26.03
15.0000,26.02
15.5000,26.02
16.0000,26.03
16.5000,26.03
17.0000,26.02
17.5000,26.03
18.0000,26.03
18.5000,26.02
19.0000,26.02
19.5000,26.02
20.0000,26.02
20.5000,26.02
21.0000,26.02
21.5000,26.02
22.0000,26.02
22.5000,26.03
23.0000,26.02
23.5000,26.01
24.0000,26.02
24.5000,26.02
25.0000,26.02
25.5000,26.02
26.0000,26.02
26.5000,26.02
27.0000,26.01
27.5000,26.02
28.0000,26.03
28.5000,26.02
29.0000,26.02
29.5000,26.02
30.0000,26.03
30.5000,26.02
31.0000,26.02
31.5000,26.03
32.0000,26.03
32.5000,26.02
33.0000,26.03
33.5000,26.02
34.0000,26.03
34.5000,26.03
35.0000,26.03
35.5000,26.02
36.0000,26.03
36.5000,26.03
37.0000,26.03
37.5000,26.03
38.0000,26.03
38.5000,26.04
39.0000,26.03
39.5000,26.04
40.0000,26.03
40.5000,26.04
41.0000,26.04
41.5000,26.03
42.0000,26.04
42.5000,26.03
43.0000,26.04
43.5000,26.04
44.0000,26.04
44.5000,26.04
45.0000,26.04
45.5000,26.04
46.0000,26.04
46.5000,26.05
47.0000,26.04
47.5000,26.04
48.0000,26.05
48.5000,26.05
49.0000,26.04
49.5000,26.04
50.0000,26.05
50.5000,26.05
51.0000,26.05
51.5000,26.05
52.0000,26.05
52.5000,26.05
53.0000,26.04
53.5000,26.05
54.0000,26.05
54.5000,26.05
55.0000,26.05
55.5000,26.05
56.0000,26.06
56.5000,26.06
57.0000,26.06
57.5000,26.06
58.0000,26.06
58.5000,26.06
59.0000,26.06
59.5000,26.06
60.0000,26.07
60.5000,26.06
61.0000,26.07
61.5000,26.07
62.0000,26.07
62.5000,26.07
63.0000,26.08
63.5000,26.07
64.0000,26.08
64.5000,26.08
65.0000,26.08
65.5000,26.09
66.0000,26.09
66.5000,26.09
67.0000,26.10
67.5000,26.08
68.0000,26.10
68.5000,26.09
69.0000,26.09
69.5000,26.10
70.0000,26.11
