Time(s),Temperature8(C)
0.0000,28.10
0.5000,28.10
1.0000,28.10
1.5000,28.09
2.0000,28.09
2.5000,28.09
3.0000,28.09
3.5000,28.08
4.0000,28.08
4.5000,28.09
5.0000,28.08
5.5000,28.08
6.0000,28.08
6.5000,28.08
7.0000,28.08
7.5000,28.08
8.0000,28.07
8.5000,28.07
9.0000,28.07
9.5000,28.07
10.0000,28.07
10.5000,28.07
11.0000,28.06
11.5000,28.07
12.0000,28.06
12.5000,28.06
13.0000,28.06
13.5000,28.06
14.0000,28.06
14.5000,28.06
15.0000,28.05
15.5000,28.05
16.0000,28.05
16.5000,28.05
17.0000,28.05
17.5000,28.05
18.0000,28.05
18.5000,28.05
19.0000,28.05
19.5000,28.05
20.0000,28.05
20.5000,28.04
21.0000,28.04
21.5000,28.04
22.0000,28.04
22.5000,28.03
23.0000,28.04
23.5000,28.04
24.0000,28.03
24.5000,28.03
25.0000,28.03
25.5000,28.03
26.0000,28.03
26.5000,28.03
27.0000,28.03
27.5000,28.03
28.0000,28.03
28.5000,28.03
29.0000,28.03
29.5000,28.03
30.0000,28.03
30.5000,28.02
31.0000,28.02
31.5000,28.03
32.0000,28.03
32.5000,28.03
33.0000,28.03
33.5000,28.03
34.0000,28.03
34.5000,28.03
35.0000,28.02
35.5000,28.02
36.0000,28.02
36.5000,28.02
37.0000,28.02
37.5000,28.02
38.0000,28.02
38.5000,28.03
39.0000,28.02
39.5000,28.02
40.0000,28.02
40.5000,28.02
41.0000,28.02
41.5000,28.02
42.0000,28.02
42.5000,28.02
43.0000,28.02
43.5000,28.02
44.0000,28.01
44.5000,28.02
45.0000,28.02
45.5000,28.01
46.0000,28.01
46.5000,28.01
47.0000,28.01
47.5000,28.02
48.0000,28.02
48.5000,28.02
49.0000,28.01
49.5000,28.02
50.0000,28.02
50.5000,28.02
51.0000,28.02
51.5000,28.01
52.0000,28.02
52.5000,28.01
53.0000,28.02
53.5000,28.02
54.0000,28.02
54.5000,28.02
55.0000,28.01
55.5000,28.02
56.0000,28.02
56.5000,28.02
57.0000,28.02
57.5000,28.02
58.0000,28.02
58.5000,28.02
59.0000,28.02
59.5000,28.02
60.0000,28.01
60.5000,28.02
61.0000,28.02
61.5000,28.02
62.0000,28.02
62.5000,28.01
63.0000,28.03
63.5000,28.02
64.0000,28.02
64.5000,28.02
65.0000,28.02
65.5000,28.02
66.0000,28.02
66.5000,28.02
67.0000,28.02
67.5000,28.02
68.0000,28.02
68.5000,28.02
69.0000,28.01
69.5000,28.02
70.0000,28.02
70.5000,28.02
71.0000,28.02
71.5000,28.02
72.0000,28.03
72.5000,28.02
73.0000,28.02
73.5000,28.02
74.0000,28.02
74.5000,28.02
75.0000,28.02
75.5000,28.02
76.0000,28.03
76.5000,28.02
77.0000,28.03
77.5000,28.03
78.0000,28.03
78.5000,28.04
79.0000,28.03
79.5000,28.03
80.0000,28.03
80.5000,28.04
81.0000,28.04
81.5000,28.04
82.0000,28.03
82.5000,28.04
83.0000,28.03
83.5000,28.03
84.0000,28.04
84.5000,28.04
85.0000,28.04
85.5000,28.03
86.0000,28.04
86.5000,28.04
87.0000,28.03
87.5000,28.04
88.0000,28.04
88.5000,28.04
89.0000,28.04
89.5000,28.04
90.0000,28.04
90.5000,28.04
91.0000,28.04
91.5000,28.05
92.0000,28.04
92.5000,28.04
93.0000,28.04
93.5000,28.04
94.0000,28.05
94.5000,28.04
95.0000,28.04
95.5000,28.04
96.0000,28.04
96.5000,28.04
97.0000,28.04
97.5000,28.04
98.0000,28.04
98.5000,28.04
99.0000,28.04
99.5000,28.03
100.0000,28.04
100.5000,28.03
101.0000,28.04
101.5000,28.03
102.0000,28.04
102.5000,28.04
103.0000,28.04
103.5000,28.04
104.0000,28.04
104.5000,28.04
105.0000,28.05
105.5000,28.04
106.0000,28.04
106.5000,28.04
107.0000,28.04
107.5000,28.04
108.0000,28.04
108.5000,28.04
109.0000,28.04
109.5000,28.04
110.0000,28.04
110.5000,28.04
111.0000,28.04
111.5000,28.04
112.0000,28.04
112.5000,28.04
113.0000,28.05
113.5000,28.04
114.0000,28.04
114.5000,28.04
115.0000,28.04
115.5000,28.04
116.0000,28.05
116.5000,28.05
117.0000,28.04
117.5000,28.04
118.0000,28.04
118.5000,28.04
119.0000,28.05
119.5000,28.04
120.0000,28.04
120.5000,28.04
121.0000,28.05
121.5000,28.04
122.0000,28.05
122.5000,28.05
123.0000,28.04
123.5000,28.05
124.0000,28.05
124.5000,28.05
125.0000,28.05
125.5000,28.05
126.0000,28.06
126.5000,28.05
127.0000,28.05
127.5000,28.06
128.0000,28.06
128.5000,28.06
129.0000,28.06
129.5000,28.06
130.0000,28.07
130.5000,28.07
131.0000,28.06
131.5000,28.06
132.0000,28.07
132.5000,28.07
133.0000,28.07
133.5000,28.07
134.0000,28.07
134.5000,28.07
135.0000,28.07
135.5000,28.08
136.0000,28.08
136.5000,28.07
137.0000,28.07
137.5000,28.08
138.0000,28.07
138.5000,28.08
139.0000,28.08
139.5000,28.08
140.0000,28.08
140.5000,28.08
141.0000,28.08
141.5000,28.08
142.0000,28.08
142.5000,28.08
143.0000,28.08
143.5000,28.09
144.0000,28.08
144.5000,28.09
145.0000,28.09
145.5000,28.08
146.0000,28.09
146.5000,28.08
147.0000,28.08
147.5000,28.08
148.0000,28.08
148.5000,28.09
149.0000,28.09
149.5000,28.09
150.0000,28.09
150.5000,28.09
151.0000,28.09
151.5000,28.09
152.0000,28.09
152.5000,28.09
153.0000,28.09
153.5000,28.09
154.0000,28.09
154.5000,28.09
155.0000,28.09
155.5000,28.09
156.0000,28.09
156.5000,28.09
157.0000,28.09
157.5000,28.09
158.0000,28.09
158.5000,28.10
159.0000,28.10
159.5000,28.09
160.0000,28.09
160.5000,28.09
161.0000,28.09
161.5000,28.09
162.0000,28.09
162.5000,28.09
163.0000,28.09
163.5000,28.09
164.0000,28.08
164.5000,28.08
165.0000,28.08
165.5000,28.09
166.0000,28.08
166.5000,28.08
167.0000,28.08
167.5000,28.08
168.0000,28.08
168.5000,28.08
169.0000,28.08
169.5000,28.08
170.0000,28.08
170.5000,28.08
171.0000,28.08
171.5000,28.08
172.0000,28.09
172.5000,28.08
173.0000,28.08
173.5000,28.08
174.0000,28.08
174.5000,28.08
175.0000,28.07
175.5000,28.08
176.0000,28.08
176.5000,28.08
177.0000,28.08
177.5000,28.08
178.0000,28.08
178.5000,28.08
179.0000,28.08
179.5000,28.08
180.0000,28.08
180.5000,28.08
181.0000,28.08
181.5000,28.08
182.0000,28.08
182.5000,28.08
183.0000,28.08
183.5000,28.08
184.0000,28.08
184.5000,28.08
185.0000,28.08
185.5000,28.08
186.0000,28.08
186.5000,28.08
187.0000,28.08
187.5000,28.08
188.0000,28.08
188.5000,28.08
189.0000,28.08
189.5000,28.07
190.0000,28.09
190.5000,28.08
191.0000,28.08
191.5000,28.08
192.0000,28.08
192.5000,28.08
193.0000,28.08
193.5000,28.08
194.0000,28.08
194.5000,28.08
195.0000,28.08
195.5000,28.08
196.0000,28.09
196.5000,28.09
197.0000,28.08
197.5000,28.09
198.0000,28.09
198.5000,28.08
199.0000,28.09
199.5000,28.08
200.0000,28.08
200.5000,28.08
201.0000,28.09
201.5000,28.09
202.0000,28.09
202.5000,28.08
203.0000,28.09
203.5000,28.08
204.0000,28.09
204.5000,28.09
205.0000,28.09
205.5000,28.08
206.0000,28.09
206.5000,28.09
207.0000,28.08
207.5000,28.08
208.0000,28.09
208.5000,28.08
209.0000,28.08
209.5000,28.08
210.0000,28.08
210.5000,28.08
211.0000,28.08
211.5000,28.08
212.0000,28.08
212.5000,28.08
213.0000,28.08
213.5000,28.08
214.0000,28.08
214.5000,28.08
215.0000,28.08
215.5000,28.08
216.0000,28.08
216.5000,28.08
217.0000,28.08
217.5000,28.08
218.0000,28.08
218.5000,28.07
219.0000,28.08
219.5000,28.08
220.0000,28.08
220.5000,28.08
221.0000,28.08
221.5000,28.08
222.0000,28.08
222.5000,28.08
223.0000,28.08
223.5000,28.08
224.0000,28.08
224.5000,28.08
225.0000,28.08
225.5000,28.08
226.0000,28.09
226.5000,28.08
227.0000,28.08
227.5000,28.08
228.0000,28.08
228.5000,28.08
229.0000,28.09
229.5000,28.08
230.0000,28.08
230.5000,28.08
231.0000,28.08
231.5000,28.08
232.0000,28.08
232.5000,28.08
233.0000,28.08
233.5000,28.08
234.0000,28.08
234.5000,28.08
235.0000,28.08
235.5000,28.08
236.0000,28.07
236.5000,28.08
237.0000,28.08
237.5000,28.08
238.0000,28.07
238.5000,28.08
239.0000,28.07
239.5000,28.07
240.0000,28.08
240.5000,28.07
241.0000,28.07
241.5000,28.08
242.0000,28.07
242.5000,28.08
243.0000,28.07
243.5000,28.07
244.0000,28.07
244.5000,28.08
245.0000,28.07
245.5000,28.08
246.0000,28.08
246.5000,28.08
247.0000,28.07
247.5000,28.07
248.0000,28.08
248.5000,28.08
249.0000,28.07
249.5000,28.08
250.0000,28.08
250.5000,28.08
251.0000,28.08
251.5000,28.08
252.0000,28.08
252.5000,28.08
253.0000,28.08
253.5000,28.08
254.0000,28.08
254.5000,28.08
255.0000,28.08
255.5000,28.08
256.0000,28.09
256.5000,28.09
257.0000,28.09
257.5000,28.08
258.0000,28.09
258.5000,28.09
259.0000,28.09
259.5000,28.09
260.0000,28.09
