294.800000	1.292700
294.800000	1.288650
294.800000	1.280350
294.800000	1.294950
294.800000	1.286100
294.800000	1.288000
294.700000	1.279900
294.700000	1.287300
295.100000	1.286800
295.700000	1.306850
296.100000	1.308400
296.100000	1.281650
296.100000	1.286250
295.900000	1.308550
295.800000	1.247350
295.700000	1.276850
295.500000	1.291750
295.200000	1.275400
295.000000	1.289700
294.800000	1.263200
294.500000	1.276950
294.200000	1.288950
293.900000	1.282750
293.500000	1.276350
293.100000	1.281700
292.700000	1.305800
292.400000	1.270050
291.800000	1.284100
291.300000	1.294650
290.800000	1.266850
290.400000	1.270150
290.100000	1.293950
289.800000	1.250450
289.600000	1.257750
289.000000	1.294100
288.500000	1.273500
287.900000	1.263450
287.500000	1.223950
287.000000	1.273900
286.600000	1.281250
286.100000	1.269900
285.700000	1.265400
285.100000	1.370350
284.700000	1.287050
284.200000	1.260250
283.800000	1.261250
283.200000	1.278050
282.600000	1.244200
282.100000	1.239100
281.500000	1.263200
281.100000	1.247200
280.500000	1.233900
280.100000	1.325400
279.600000	1.217300
279.100000	1.252150
278.600000	1.233650
278.200000	1.236650
277.600000	1.168350
277.200000	1.271300
276.600000	1.222550
276.200000	1.234150
275.600000	1.243900
275.200000	1.227200
274.700000	1.231200
274.200000	1.213800
273.700000	1.178800
273.300000	1.227300
272.700000	1.246650
272.300000	1.205750
271.800000	1.234200
271.400000	1.222950
270.800000	1.206050
270.400000	1.207000
269.800000	1.227450
269.400000	1.204350
268.800000	1.189950
268.400000	1.217700
267.900000	1.204400
267.500000	1.216600
266.900000	1.190250
266.500000	1.199400
265.900000	1.204700
265.500000	1.212100
265.000000	1.191500
264.600000	1.209700
264.200000	1.195900
263.900000	1.191250
263.500000	1.182400
263.100000	1.196600
262.500000	1.187500
262.100000	1.207900
261.600000	1.193300
261.200000	1.153750
260.600000	1.201450
260.200000	1.196150
259.600000	1.162900
259.200000	1.188050
258.600000	1.194800
258.200000	1.180850
257.600000	1.162300
257.100000	1.182400
256.700000	1.166000
256.200000	1.154400
255.800000	1.181850
255.300000	1.151350
254.900000	1.159200
254.300000	1.167250
253.900000	1.149850
253.300000	1.170450
253.000000	1.162850
252.500000	1.151850
252.100000	1.157700
251.600000	1.166150
251.200000	1.137600
250.600000	1.157750
250.200000	1.151150
249.700000	1.146550
249.400000	1.161050
248.900000	1.150850
248.500000	1.144150
248.000000	1.138500
247.600000	1.146750
247.000000	1.146150
246.600000	1.144950
246.100000	1.147550
245.700000	1.103200
245.300000	1.125400
244.900000	1.119250
244.300000	1.111400
243.900000	1.127100
243.500000	1.137300
243.100000	1.104600
242.500000	1.125050
242.100000	1.134750
241.500000	1.128550
241.000000	1.111450
240.700000	1.136800
